leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",1.9 mi,43 mins,2.2 mi,11 mins,4.7,10:00AM-10:00PM,True,n/a,drive
2,Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",7.3 mi,2 hours 42 mins,10.9 mi,19 mins,4.7,10:30AM-1:00AM,False,False,drive
3,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",10.1 mi,3 hours 45 mins,10.2 mi,13 mins,4.7,6:00PM-12:00AM,n/a,n/a,drive
4,Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",Taste Of Cholulas,"8901-8925 E Washington St, Indianapolis, IN 46219, USA",14.5 mi,5 hours 24 mins,23.2 mi,26 mins,4.2,5:00PM-12:00AM,False,False,drive
5,Taste Of Cholulas,"8901-8925 E Washington St, Indianapolis, IN 46219, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",8.3 mi,3 hours 4 mins,12.1 mi,19 mins,n/a,-,-,-,drive
