leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Indy Porkopolis BBQ,"4225 S East St, Indianapolis, IN 46227, USA",4.3 mi,1 hour 36 mins,4.5 mi,12 mins,3.9,11:00AM-8:00PM,True,n/a,drive
2,Indy Porkopolis BBQ,"4225 S East St, Indianapolis, IN 46227, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",9.8 mi,3 hours 38 mins,17.4 mi,21 mins,4.5,5:00PM-1:00AM,False,False,drive
3,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, USA",3.5 mi,1 hour 19 mins,3.5 mi,10 mins,3.5,2:00PM-9:30PM,n/a,n/a,drive
4,Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, USA",Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",2.3 mi,52 mins,2.4 mi,8 mins,4.5,6:00PM-2:00AM,False,False,drive
5,Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",7.4 mi,2 hours 43 mins,8.3 mi,16 mins,-,-,-,-,drive
