leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",9.4 mi,3 hours 31 mins,9.3 mi,15 mins,5.0,10:00AM-11:00PM,n/a,n/a,drive
2,King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",14.7 mi,5 hours 25 mins,17.5 mi,23 mins,4.5,5:00PM-1:00AM,False,False,drive
3,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",4.8 mi,1 hour 46 mins,5.3 mi,13 mins,4.7,6:00PM-12:00AM,n/a,n/a,drive
4,Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",5.9 mi,2 hours 10 mins,8.6 mi,15 mins,5.0,6:00PM-12:00AM,n/a,n/a,drive
5,Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",2.3 mi,51 mins,2.6 mi,9 mins,n/a,-,-,-,drive
