leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Tacos Maela,"3440 Shadeland Ave, Indianapolis, IN 46226, USA",8.0 mi,2 hours 59 mins,11.3 mi,18 mins,4.7,11:00AM-8:30PM,n/a,n/a,drive
2,Tacos Maela,"3440 Shadeland Ave, Indianapolis, IN 46226, USA",Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",6.1 mi,2 hours 12 mins,8.2 mi,13 mins,4.7,10:00AM-10:00PM,True,n/a,drive
3,Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",7.7 mi,2 hours 53 mins,11.3 mi,20 mins,4.7,6:00PM-12:00AM,True,n/a,drive
4,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",8.5 mi,3 hours 5 mins,8.0 mi,12 mins,4.7,10:30AM-1:00AM,False,False,drive
5,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,14 mins,-,-,-,-,drive
